instrument_id,trade_date,open_price,close_price,high_price,low_price,settle_price,volume,amount,pre_close_price,return_rate,data_source
AU9999.SGE,2019-11-27,289.94,282.62,291.23,281.26,282.96,11186.55,3825916778.45,51.11,0.05,WIND
RB2001.SHF,2019-11-27,2591.07,2591.07,2624.86,2570.8,2600.08,908902.39,3147627.59,2623.34,-0.01,WIND
RB2002.SHF,2019-11-27,5176.44,5219.81,5266.28,5176.44,5235.3,331.47,1120.59,5132.56,0.02,WIND
RB2003.SHF,2019-11-27,3938.97,3929.62,3964.69,3929.62,3949.49,67.81,229.08,3816.64,0.03,WIND
RB2004.SHF,2019-11-27,2939.75,2944.94,2953.58,2935.43,2942.34,17.28,58.85,2897.7,0.02,WIND
RB2005.SHF,2019-11-27,2686.31,2687.1,2714.22,2670.35,2695.08,114624.21,387397.73,2736.36,-0.02,WIND
RB2007.SHF,2019-11-27,3124.18,3132.6,3158.78,3106.42,3141.02,164.58,552.86,3051.73,0.03,WIND
RB2009.SHF,2019-11-27,3343.08,3352.08,3386.1,3333.07,3369.09,152.09,512.18,3351.08,0.0,WIND
000905.SH,2019-11-28,3444.33,3422.65,3457.74,3417.75,0.0,51990976.3,50741221.34,3569.35,-0.04,WIND
600030.SH,2019-11-28,24.95,24.6,25.1,24.6,0.0,925177.68,1979669.19,25.39,-0.03,WIND
AU9999.SGE,2019-11-28,295.1,287.66,296.41,286.27,287.99,11385.67,3894018097.11,103.47,0.02,WIND
RB2001.SHF,2019-11-28,2709.74,2709.74,2745.08,2688.54,2719.17,950530.12,3291788.93,2591.07,0.05,WIND
RB2002.SHF,2019-11-28,5381.95,5427.04,5475.35,5381.95,5443.14,344.63,1165.07,5219.81,0.04,WIND
RB2003.SHF,2019-11-28,3803.08,3794.05,3827.91,3794.05,3813.24,65.47,221.18,3929.62,-0.03,WIND
RB2004.SHF,2019-11-28,2828.33,2833.32,2841.64,2824.18,2830.83,16.63,56.62,2944.94,-0.04,WIND
RB2005.SHF,2019-11-28,2815.25,2816.08,2844.5,2798.53,2824.44,120126.17,405992.82,2687.1,0.05,WIND
RB2007.SHF,2019-11-28,3059.82,3068.07,3093.71,3042.42,3076.31,161.19,541.47,3132.6,-0.02,WIND
RB2009.SHF,2019-11-28,3346.75,3355.77,3389.83,3336.74,3372.8,152.26,512.74,3352.08,0.0,WIND
000905.SH,2019-11-29,3606.9,3584.2,3620.95,3579.06,0.0,54444950.38,53136206.99,3422.65,0.05,WIND
600030.SH,2019-11-29,23.96,23.63,24.11,23.63,0.0,888540.64,1901274.29,24.6,-0.04,WIND
AU9999.SGE,2019-11-29,290.23,282.91,291.52,281.54,283.24,11197.81,3829766798.51,-435.25,-0.02,WIND
RB2001.SHF,2019-11-29,2588.08,2588.08,2621.82,2567.83,2597.08,907851.32,3143987.61,2709.74,-0.04,WIND
RB2002.SHF,2019-11-29,5190.35,5233.84,5280.43,5190.35,5249.37,332.36,1123.6,5427.04,-0.04,WIND
RB2003.SHF,2019-11-29,3864.31,3855.13,3889.54,3855.13,3874.63,66.53,224.74,3794.05,0.02,WIND
RB2004.SHF,2019-11-29,2868.5,2873.56,2881.99,2864.28,2871.03,16.86,57.43,2833.32,0.01,WIND
RB2005.SHF,2019-11-29,2781.47,2782.29,2810.37,2764.95,2790.55,118684.66,401120.9,2816.08,-0.01,WIND
RB2007.SHF,2019-11-29,3211.9,3220.55,3247.47,3193.63,3229.2,169.2,568.38,3068.07,0.05,WIND
RB2009.SHF,2019-11-29,3410.34,3419.53,3454.24,3400.13,3436.88,155.15,522.48,3355.77,0.02,WIND
000905.SH,2019-12-02,3517.81,3495.67,3531.51,3490.66,0.0,53100160.1,51823742.67,3584.2,-0.02,WIND
600030.SH,2019-12-02,22.78,22.47,22.92,22.47,0.0,844913.3,1807921.73,23.63,-0.05,WIND
AU9999.SGE,2019-12-02,282.42,275.3,283.68,273.97,275.62,10896.58,3726746071.63,-162.9,-0.03,WIND
RB2001.SHF,2019-12-02,2670.89,2670.89,2705.72,2650.0,2680.18,936902.56,3244595.21,2588.08,0.03,WIND
RB2002.SHF,2019-12-02,5310.77,5355.26,5402.93,5310.77,5371.15,340.07,1149.66,5233.84,0.02,WIND
RB2005.SHF,2019-12-02,2795.65,2796.48,2824.7,2779.05,2804.78,119289.95,403166.62,2782.29,0.01,WIND
RB2007.SHF,2019-12-02,3129.35,3137.78,3164.01,3111.56,3146.21,164.85,553.77,3220.55,-0.03,WIND
RB2003.SHF,2019-12-02,3949.71,3940.33,3975.5,3940.33,3960.26,68.0,229.71,3855.13,0.02,WIND
RB2004.SHF,2019-12-02,2748.59,2753.44,2761.52,2744.55,2751.02,16.16,55.03,2873.56,-0.04,WIND
RB2009.SHF,2019-12-02,3313.15,3322.07,3355.79,3303.23,3338.93,150.73,507.59,3419.53,-0.03,WIND
000905.SH,2019-12-03,3348.6,3327.53,3361.64,3322.76,0.0,50546042.4,49331020.65,3495.67,-0.05,WIND
600030.SH,2019-12-03,21.74,21.43,21.87,21.43,0.0,806131.78,1724938.12,22.47,-0.05,WIND
AU9999.SGE,2019-12-03,289.0,281.71,290.29,280.35,282.04,11150.48,3813579255.1,84.6,0.02,WIND
RB2003.SHF,2019-12-03,3970.25,3960.82,3996.17,3960.82,3980.85,68.35,230.9,3940.33,0.01,WIND
RB2004.SHF,2019-12-03,2686.75,2691.49,2699.39,2682.8,2689.12,15.8,53.79,2753.44,-0.02,WIND
RB2001.SHF,2019-12-03,2687.19,2687.19,2722.23,2666.16,2696.53,942617.66,3264387.24,2670.89,0.01,WIND
RB2002.SHF,2019-12-03,5411.14,5456.47,5505.05,5411.14,5472.67,346.49,1171.39,5355.26,0.02,WIND
RB2005.SHF,2019-12-03,2790.34,2791.17,2819.34,2773.77,2799.45,119063.3,402400.6,2796.48,-0.0,WIND
RB2007.SHF,2019-12-03,3068.02,3076.28,3101.99,3050.57,3084.55,161.62,542.92,3137.78,-0.02,WIND
RB2009.SHF,2019-12-03,3187.58,3196.17,3228.6,3178.04,3212.39,145.02,488.35,3322.07,-0.04,WIND
000905.SH,2019-12-04,3205.62,3185.44,3218.1,3180.88,0.0,48387726.39,47224586.07,3327.53,-0.04,WIND
600030.SH,2019-12-04,22.67,22.35,22.8,22.35,0.0,840553.6,1798592.98,21.43,0.04,WIND
AU9999.SGE,2019-12-04,284.87,277.69,286.14,276.34,278.01,10991.02,3759045071.75,-645.78,-0.01,WIND
RB2003.SHF,2019-12-04,4110.0,4100.24,4136.84,4100.24,4120.98,70.76,239.03,3960.82,0.04,WIND
RB2004.SHF,2019-12-04,2752.84,2757.7,2765.79,2748.8,2755.27,16.18,55.11,2691.49,0.02,WIND
RB2001.SHF,2019-12-04,2623.5,2623.5,2657.71,2602.97,2632.62,920277.62,3187021.26,2687.19,-0.02,WIND
RB2002.SHF,2019-12-04,5166.56,5209.84,5256.22,5166.56,5225.3,330.83,1118.45,5456.47,-0.05,WIND
RB2005.SHF,2019-12-04,2680.12,2680.92,2707.97,2664.21,2688.87,114360.3,386505.78,2791.17,-0.04,WIND
RB2007.SHF,2019-12-04,3139.81,3148.27,3174.58,3121.95,3156.72,165.4,555.62,3076.28,0.02,WIND
RB2009.SHF,2019-12-04,3043.18,3051.38,3082.35,3034.07,3066.86,138.45,466.23,3196.17,-0.05,WIND
000905.SH,2019-12-05,3295.69,3274.95,3308.53,3270.26,0.0,49747421.5,48551596.94,3185.44,0.03,WIND
600030.SH,2019-12-05,22.89,22.57,23.03,22.57,0.0,848706.97,1816039.33,22.35,0.01,WIND
AU9999.SGE,2019-12-05,279.37,272.33,280.62,271.01,272.64,10778.9,3686495501.86,-292.82,-0.02,WIND
RB2001.SHF,2019-12-05,2607.5,2607.5,2641.5,2587.1,2616.56,914663.93,3167580.43,2623.5,-0.01,WIND
RB2002.SHF,2019-12-05,5084.92,5127.53,5173.17,5084.92,5142.74,325.61,1100.78,5209.84,-0.02,WIND
RB2005.SHF,2019-12-05,2586.85,2587.62,2613.73,2571.49,2595.3,110380.56,373055.38,2680.92,-0.03,WIND
RB2007.SHF,2019-12-05,3002.6,3010.69,3035.85,2985.52,3018.78,158.17,531.34,3148.27,-0.04,WIND
RB2003.SHF,2019-12-05,4302.76,4292.54,4330.86,4292.54,4314.25,74.07,250.24,4100.24,0.05,WIND
RB2004.SHF,2019-12-05,2839.28,2844.29,2852.64,2835.11,2841.79,16.69,56.84,2757.7,0.03,WIND
RB2009.SHF,2019-12-05,3096.13,3104.47,3135.98,3086.87,3120.23,140.86,474.34,3051.38,0.02,WIND
000905.SH,2019-12-09,3135.52,3115.79,3147.74,3111.33,0.0,47329696.82,46191989.33,3274.95,-0.05,WIND
600030.SH,2019-12-09,21.81,21.5,21.94,21.5,0.0,808648.0,1730322.27,22.57,-0.05,WIND
AU9999.SGE,2019-12-09,292.64,285.26,293.95,283.88,285.59,11290.89,3861604038.2,49.61,0.05,WIND
RB2001.SHF,2019-12-09,2609.32,2609.32,2643.35,2588.91,2618.4,915304.2,3169797.74,2607.5,0.0,WIND
RB2002.SHF,2019-12-09,4857.12,4897.81,4941.41,4857.12,4912.35,311.02,1051.46,5127.53,-0.04,WIND
RB2003.SHF,2019-12-09,4316.96,4306.71,4345.15,4306.71,4328.49,74.32,251.07,4292.54,0.0,WIND
RB2004.SHF,2019-12-09,2964.21,2969.44,2978.15,2959.86,2966.83,17.43,59.34,2844.29,0.04,WIND
RB2005.SHF,2019-12-09,2498.64,2499.38,2524.61,2483.8,2506.8,106616.59,360334.19,2587.62,-0.03,WIND
RB2007.SHF,2019-12-09,2877.69,2885.44,2909.56,2861.33,2893.19,151.59,509.24,3010.69,-0.04,WIND
RB2009.SHF,2019-12-09,3113.78,3122.17,3153.86,3104.46,3138.01,141.66,477.05,3104.47,0.01,WIND
000905.SH,2019-12-10,3267.53,3246.97,3280.26,3242.31,0.0,49322277.06,48136672.08,3115.79,0.04,WIND
600030.SH,2019-12-10,21.27,20.97,21.4,20.97,0.0,788836.13,1687929.38,21.5,-0.02,WIND
AU9999.SGE,2019-12-10,286.5,279.27,287.77,277.92,279.6,11053.79,3780510353.4,-253.88,-0.02,WIND
RB2005.SHF,2019-12-10,2612.33,2613.11,2639.48,2596.82,2620.86,111467.64,376729.4,2499.38,0.05,WIND
RB2007.SHF,2019-12-10,2987.91,2995.96,3021.0,2970.91,3004.0,157.4,528.74,2885.44,0.04,WIND
RB2003.SHF,2019-12-10,4257.81,4247.7,4285.62,4247.7,4269.19,73.3,247.63,4306.71,-0.01,WIND
RB2004.SHF,2019-12-10,3064.7,3070.1,3079.11,3060.19,3067.4,18.02,61.35,2969.44,0.03,WIND
RB2001.SHF,2019-12-10,2686.3,2686.3,2721.33,2665.28,2695.64,942305.67,3263306.77,2609.32,0.03,WIND
RB2002.SHF,2019-12-10,4832.35,4872.83,4916.21,4832.35,4887.29,309.43,1046.1,4897.81,-0.01,WIND
RB2009.SHF,2019-12-10,3224.32,3233.01,3265.82,3214.67,3249.41,146.69,493.98,3122.17,0.04,WIND
000905.SH,2019-12-11,3255.11,3234.63,3267.79,3229.99,0.0,49134852.4,47953752.72,3246.97,-0.0,WIND
600030.SH,2019-12-11,20.58,20.29,20.7,20.29,0.0,763120.07,1632902.88,20.97,-0.03,WIND
AU9999.SGE,2019-12-11,291.57,284.21,292.87,282.84,284.55,11249.44,3847425386.66,102.6,0.02,WIND
RB2003.SHF,2019-12-11,4302.1,4291.88,4330.19,4291.88,4313.59,74.06,250.2,4247.7,0.01,WIND
RB2004.SHF,2019-12-11,2914.22,2919.36,2927.93,2909.94,2916.79,17.13,58.34,3070.1,-0.05,WIND
RB2001.SHF,2019-12-11,2785.42,2785.42,2821.74,2763.63,2795.11,977076.75,3383722.79,2686.3,0.04,WIND
RB2002.SHF,2019-12-11,4591.21,4629.68,4670.89,4591.21,4643.42,293.99,993.9,4872.83,-0.05,WIND
RB2005.SHF,2019-12-11,2735.11,2735.92,2763.53,2718.87,2744.04,116706.62,394435.68,2613.11,0.05,WIND
RB2007.SHF,2019-12-11,2854.94,2862.64,2886.56,2838.71,2870.33,150.4,505.21,2995.96,-0.04,WIND
RB2009.SHF,2019-12-11,3328.79,3337.76,3371.63,3318.83,3354.69,151.44,509.99,3233.01,0.03,WIND
000905.SH,2019-12-12,3101.47,3081.95,3113.55,3077.54,0.0,46815687.37,45690335.6,3234.63,-0.05,WIND
600030.SH,2019-12-12,21.34,21.04,21.47,21.04,0.0,791279.2,1693157.0,20.29,0.04,WIND
AU9999.SGE,2019-12-12,299.64,292.09,300.98,290.68,292.43,11561.05,3953999069.87,77.48,0.03,WIND
RB2001.SHF,2019-12-12,2702.42,2702.42,2737.65,2681.27,2711.81,947959.86,3282887.85,2785.42,-0.03,WIND
RB2002.SHF,2019-12-12,4717.47,4757.0,4799.34,4717.47,4771.11,302.08,1021.23,4629.68,0.03,WIND
RB2005.SHF,2019-12-12,2654.97,2655.76,2682.56,2639.2,2663.64,113287.12,382878.71,2735.92,-0.03,WIND
RB2007.SHF,2019-12-12,2787.85,2795.36,2818.73,2772.0,2802.87,146.86,493.34,2862.64,-0.02,WIND
RB2003.SHF,2019-12-12,4425.57,4415.06,4454.47,4415.06,4437.39,76.19,257.38,4291.88,0.03,WIND
RB2004.SHF,2019-12-12,3047.4,3052.78,3061.73,3042.92,3050.09,17.92,61.01,2919.36,0.05,WIND
RB2009.SHF,2019-12-12,3486.24,3495.63,3531.11,3475.81,3513.37,158.61,534.11,3337.76,0.05,WIND
000905.SH,2019-12-13,2948.88,2930.32,2960.36,2926.12,0.0,44512355.55,43442371.08,3081.95,-0.05,WIND
600030.SH,2019-12-13,21.94,21.64,22.08,21.64,0.0,813751.53,1741242.65,21.04,0.03,WIND
AU9999.SGE,2019-12-13,291.55,284.2,292.85,282.83,284.53,11248.9,3847241094.98,-167.18,-0.03,WIND
RB2001.SHF,2019-12-13,2732.14,2732.14,2767.77,2710.77,2741.64,958387.42,3318999.62,2702.42,0.01,WIND
RB2002.SHF,2019-12-13,4821.26,4861.65,4904.93,4821.26,4876.08,308.72,1043.7,4757.0,0.02,WIND
RB2005.SHF,2019-12-13,2741.52,2742.34,2770.01,2725.24,2750.48,116980.28,395360.56,2655.76,0.03,WIND
RB2007.SHF,2019-12-13,2826.88,2834.5,2858.19,2810.81,2842.11,148.92,500.25,2795.36,0.01,WIND
RB2003.SHF,2019-12-13,4255.62,4245.52,4283.41,4245.52,4266.99,73.26,247.5,4415.06,-0.04,WIND
RB2004.SHF,2019-12-13,2990.42,2995.69,3004.48,2986.02,2993.05,17.58,59.87,3052.78,-0.02,WIND
RB2009.SHF,2019-12-13,3397.69,3406.84,3441.42,3387.52,3424.13,154.58,520.54,3495.63,-0.03,WIND
000905.SH,2019-12-16,2820.01,2802.27,2831.0,2798.25,0.0,42567165.61,41543939.47,2930.32,-0.04,WIND
600030.SH,2019-12-16,21.1,20.81,21.23,20.81,0.0,782503.47,1674378.94,21.64,-0.04,WIND
AU9999.SGE,2019-12-16,291.55,284.2,292.85,282.83,284.53,11248.9,3847241094.98,284.2,0.0,WIND
RB2005.SHF,2019-12-16,2613.49,2614.27,2640.65,2597.97,2622.03,111517.3,376897.22,2742.34,-0.05,WIND
RB2007.SHF,2019-12-16,2895.01,2902.81,2927.07,2878.55,2910.61,152.51,512.3,2834.5,0.02,WIND
RB2001.SHF,2019-12-16,2817.11,2817.11,2853.85,2795.07,2826.91,988193.27,3422220.51,2732.14,0.03,WIND
RB2002.SHF,2019-12-16,4936.0,4977.36,5021.67,4936.0,4992.13,316.07,1068.54,4861.65,0.02,WIND
RB2003.SHF,2019-12-16,4144.98,4135.13,4172.05,4135.13,4156.05,71.36,241.07,4245.52,-0.03,WIND
RB2004.SHF,2019-12-16,2935.99,2941.17,2949.8,2931.67,2938.58,17.26,58.78,2995.69,-0.02,WIND
RB2009.SHF,2019-12-16,3351.14,3360.17,3394.27,3341.11,3377.22,152.46,513.41,3406.84,-0.01,WIND
000905.SH,2019-12-17,2775.74,2758.27,2786.55,2754.32,0.0,41898861.11,40891699.62,2802.27,-0.02,WIND
600030.SH,2019-12-17,21.45,21.15,21.58,21.15,0.0,795571.28,1702341.06,20.81,0.02,WIND
AU9999.SGE,2019-12-17,285.64,278.43,286.91,277.09,278.76,11020.55,3769142100.75,-270.32,-0.02,WIND
RB2003.SHF,2019-12-17,4043.43,4033.82,4069.83,4033.82,4054.23,69.61,235.16,4135.13,-0.02,WIND
RB2004.SHF,2019-12-17,3004.4,3009.7,3018.53,2999.98,3007.05,17.66,60.15,2941.17,0.02,WIND
RB2005.SHF,2019-12-17,2608.53,2609.3,2635.63,2593.04,2617.05,111305.41,376181.12,2614.27,-0.0,WIND
RB2007.SHF,2019-12-17,2906.3,2914.13,2938.49,2889.77,2921.96,153.1,514.3,2902.81,0.0,WIND
RB2001.SHF,2019-12-17,2936.84,2936.84,2975.13,2913.86,2947.05,1030191.48,3567664.88,2817.11,0.04,WIND
RB2002.SHF,2019-12-17,4723.75,4763.33,4805.74,4723.75,4777.47,302.48,1022.59,4977.36,-0.04,WIND
RB2009.SHF,2019-12-17,3264.35,3273.14,3306.36,3254.58,3289.75,148.51,500.12,3360.17,-0.03,WIND
000905.SH,2019-12-18,2717.73,2700.62,2728.31,2696.75,0.0,41023174.92,40037063.1,2758.27,-0.02,WIND
600030.SH,2019-12-18,21.57,21.27,21.7,21.27,0.0,799867.36,1711533.71,21.15,0.01,WIND
AU9999.SGE,2019-12-18,293.4,286.0,294.71,284.62,286.34,11320.3,3871662765.89,76.88,0.03,WIND
RB2003.SHF,2019-12-18,3950.43,3941.05,3976.22,3941.05,3960.98,68.01,229.75,4033.82,-0.02,WIND
RB2004.SHF,2019-12-18,2930.79,2935.96,2944.58,2926.48,2933.38,17.23,58.67,3009.7,-0.02,WIND
RB2001.SHF,2019-12-18,3024.36,3024.36,3063.79,3000.7,3034.87,1060891.19,3673981.29,2936.84,0.03,WIND
RB2002.SHF,2019-12-18,4804.53,4844.78,4887.91,4804.53,4859.16,307.65,1040.08,4763.33,0.02,WIND
RB2005.SHF,2019-12-18,2521.4,2522.15,2547.6,2506.43,2529.64,107587.81,363616.67,2609.3,-0.03,WIND
RB2007.SHF,2019-12-18,3015.58,3023.7,3048.98,2998.43,3031.83,158.86,533.64,2914.13,0.04,WIND
RB2009.SHF,2019-12-18,3108.64,3117.01,3148.65,3099.33,3132.83,141.43,476.26,3273.14,-0.05,WIND
000905.SH,2019-12-19,2619.62,2603.13,2629.82,2599.4,0.0,39542238.3,38591725.12,2700.62,-0.04,WIND
600030.SH,2019-12-19,20.72,20.43,20.84,20.43,0.0,768272.6,1643928.13,21.27,-0.04,WIND
AU9999.SGE,2019-12-19,292.64,285.26,293.94,283.88,285.59,11290.87,3861596442.7,385.49,-0.0,WIND
RB2005.SHF,2019-12-19,2464.17,2464.9,2489.77,2449.53,2472.21,105145.57,355362.57,2522.15,-0.02,WIND
RB2007.SHF,2019-12-19,3047.24,3055.45,3080.99,3029.91,3063.66,160.52,539.24,3023.7,0.01,WIND
RB2003.SHF,2019-12-19,3986.77,3977.3,4012.81,3977.3,3997.42,68.63,231.86,3941.05,0.01,WIND
RB2004.SHF,2019-12-19,2958.93,2964.15,2972.84,2954.58,2961.54,17.4,59.24,2935.96,0.01,WIND
RB2001.SHF,2019-12-19,2928.48,2928.48,2966.67,2905.57,2938.67,1027260.94,3557516.09,3024.36,-0.03,WIND
RB2002.SHF,2019-12-19,4711.32,4750.8,4793.09,4711.32,4764.89,301.68,1019.9,4844.78,-0.02,WIND
RB2009.SHF,2019-12-19,3249.15,3257.9,3290.97,3239.42,3274.43,147.82,497.79,3117.01,0.05,WIND
000905.SH,2019-12-20,2509.33,2493.54,2519.1,2489.97,0.0,37877510.07,36967013.49,2603.13,-0.04,WIND
600030.SH,2019-12-20,21.08,20.79,21.21,20.79,0.0,781871.03,1673025.65,20.43,0.02,WIND
AU9999.SGE,2019-12-20,282.31,275.19,283.57,273.86,275.51,10892.3,3725282088.27,-108.77,-0.04,WIND
RB2003.SHF,2019-12-20,4152.22,4142.36,4179.34,4142.36,4163.31,71.48,241.49,3977.3,0.04,WIND
RB2004.SHF,2019-12-20,3016.92,3022.24,3031.11,3012.49,3019.58,17.74,60.4,2964.15,0.02,WIND
RB2001.SHF,2019-12-20,3027.47,3027.47,3066.94,3003.78,3038.0,1061982.36,3677760.13,2928.48,0.03,WIND
RB2002.SHF,2019-12-20,4715.56,4755.07,4797.4,4715.56,4769.18,301.95,1020.82,4750.8,0.0,WIND
RB2005.SHF,2019-12-20,2497.19,2497.93,2523.14,2482.36,2505.34,106554.52,360124.43,2464.9,0.01,WIND
RB2007.SHF,2019-12-20,2991.17,2999.23,3024.3,2974.16,3007.29,157.57,529.32,3055.45,-0.02,WIND
RB2009.SHF,2019-12-20,3186.11,3194.7,3227.12,3176.58,3210.91,144.95,488.13,3257.9,-0.02,WIND
000905.SH,2019-12-23,2623.25,2606.74,2633.47,2603.01,0.0,39597149.03,38645315.9,2493.54,0.05,WIND
600030.SH,2019-12-23,20.89,20.6,21.02,20.6,0.0,774599.63,1657466.51,20.79,-0.01,WIND
AU9999.SGE,2019-12-23,295.89,288.43,297.21,287.03,288.76,11416.22,3904468156.72,49.64,0.05,WIND
RB2003.SHF,2019-12-23,4180.87,4170.94,4208.17,4170.94,4192.04,71.98,243.15,4142.36,0.01,WIND
RB2004.SHF,2019-12-23,3070.02,3075.43,3084.46,3065.51,3072.73,18.05,61.46,3022.24,0.02,WIND
RB2005.SHF,2019-12-23,2385.81,2386.52,2410.6,2371.64,2393.6,101802.19,344062.88,2497.93,-0.04,WIND
RB2007.SHF,2019-12-23,3097.36,3105.7,3131.66,3079.75,3114.05,163.17,548.11,2999.23,0.04,WIND
RB2001.SHF,2019-12-23,3159.47,3159.47,3200.66,3134.75,3170.45,1108284.79,3838110.47,3027.47,0.04,WIND
RB2002.SHF,2019-12-23,4796.67,4836.86,4879.92,4796.67,4851.21,307.15,1038.37,4755.07,0.02,WIND
RB2009.SHF,2019-12-23,3236.14,3244.85,3277.79,3226.45,3261.32,147.23,495.79,3194.7,0.02,WIND
000905.SH,2019-12-24,2694.34,2677.39,2704.84,2673.55,0.0,40670231.76,39692603.96,2606.74,0.03,WIND
600030.SH,2019-12-24,20.64,20.35,20.76,20.35,0.0,765226.97,1637411.17,20.6,-0.01,WIND
AU9999.SGE,2019-12-24,297.99,290.48,299.32,289.07,290.82,11497.28,3932189880.63,169.87,0.01,WIND
RB2001.SHF,2019-12-24,3243.51,3243.51,3285.8,3218.13,3254.79,1137765.16,3940204.21,3159.47,0.03,WIND
RB2002.SHF,2019-12-24,4692.1,4731.41,4773.53,4692.1,4745.45,300.45,1015.74,4836.86,-0.02,WIND
RB2003.SHF,2019-12-24,4246.93,4236.84,4274.66,4236.84,4258.28,73.11,247.0,4170.94,0.02,WIND
RB2004.SHF,2019-12-24,2945.99,2951.19,2959.85,2941.66,2948.59,17.32,58.98,3075.43,-0.04,WIND
RB2005.SHF,2019-12-24,2452.14,2452.87,2477.62,2437.58,2460.15,104632.29,353627.82,2386.52,0.03,WIND
RB2007.SHF,2019-12-24,2947.76,2955.7,2980.4,2930.99,2963.64,155.28,521.64,3105.7,-0.05,WIND
RB2009.SHF,2019-12-24,3213.81,3222.46,3255.17,3204.19,3238.82,146.21,492.37,3244.85,-0.01,WIND
000905.SH,2019-12-25,2746.07,2728.79,2756.77,2724.88,0.0,41451100.21,40454701.96,2677.39,0.02,WIND
600030.SH,2019-12-25,21.05,20.76,21.18,20.76,0.0,780761.08,1670650.62,20.35,0.02,WIND
AU9999.SGE,2019-12-25,285.45,278.25,286.72,276.9,278.57,11013.24,3766644686.66,-86.68,-0.04,WIND
RB2003.SHF,2019-12-25,4325.07,4314.8,4353.32,4314.8,4336.63,74.46,251.54,4236.84,0.02,WIND
RB2004.SHF,2019-12-25,3019.35,3024.67,3033.55,3014.91,3022.01,17.75,60.45,2951.19,0.02,WIND
RB2005.SHF,2019-12-25,2563.22,2563.98,2589.86,2548.0,2571.59,109372.13,369647.17,2452.87,0.05,WIND
RB2007.SHF,2019-12-25,2849.89,2857.57,2881.45,2833.68,2865.25,150.13,504.32,2955.7,-0.03,WIND
RB2001.SHF,2019-12-25,3153.99,3153.99,3195.11,3129.31,3164.95,1106362.85,3831454.57,3243.51,-0.03,WIND
RB2002.SHF,2019-12-25,4918.26,4959.47,5003.62,4918.26,4974.19,314.93,1064.7,4731.41,0.05,WIND
RB2009.SHF,2019-12-25,3155.64,3164.14,3196.25,3146.19,3180.2,143.57,483.46,3222.46,-0.02,WIND
000905.SH,2019-12-26,2676.87,2660.03,2687.3,2656.22,0.0,40406532.49,39435243.47,2728.79,-0.03,WIND
600030.SH,2019-12-26,21.94,21.63,22.07,21.63,0.0,813553.04,1740817.94,20.76,0.04,WIND
